year_month,total_cost,previous_month,growth_percentage
2022-07,1881576.0600000005,,
2022-08,2738193.959999998,1881576.0600000005,45.53
2022-09,2631757.0200000037,2738193.959999998,-3.89
2022-10,3081031.6200000015,2631757.0200000037,17.07
2022-11,2965794.839999996,3081031.6200000015,-3.74
2022-12,2739985.559999998,2965794.839999996,-7.61
2023-01,2957813.8800000004,2739985.559999998,7.95
2023-02,2648149.0800000005,2957813.8800000004,-10.47
2023-03,2899059.840000001,2648149.0800000005,9.47
2023-04,2476076.1600000015,2899059.840000001,-14.59
2023-05,3176736.209999998,2476076.1600000015,28.3
2023-06,3083074.6199999964,3176736.209999998,-2.95
2023-07,2707573.74,3083074.6199999964,-12.18
2023-08,2776720.470000001,2707573.74,2.55
2023-09,3327902.9999999977,2776720.470000001,19.85
2023-10,2859839.399999999,3327902.9999999977,-14.06
2023-11,3635096.099999999,2859839.399999999,27.11
2023-12,2737526.8200000003,3635096.099999999,-24.69
2024-01,2744384.4000000004,2737526.8200000003,0.25
2024-02,2702687.3099999987,2744384.4000000004,-1.52
2024-03,2950089.6,2702687.3099999987,9.15
2024-04,2331392.850000001,2950089.6,-20.97
2024-05,2598135.869999999,2331392.850000001,11.44
2024-06,2328454.440000002,2598135.869999999,-10.38
2024-07,712699.3500000001,2328454.440000002,-69.39
